institucion,puesto,requisitos,departamento,plazas,salario,fecha_limite,url,fecha_extraccion
SUNAFIL,CAS N° 048(TC): ESPECIALISTA LEGAL II,Título profesional universitario de Abogado/a,Loreto,1,4000,21/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-048-especialista-legal-sunafil-loreto-599696.html,2026-05-12T23:14:26
SUNAFIL,CAS N° 040(TC): AUXILIAR EN SOPORTE TÉCNICO,"Egresado universitario de Ingeniería de Sistemas, Ingeniería de Computación, Ingeniería Informática o Ingeniería de Software",Lima,1,2500,21/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-040-auxiliar-soporte-tecnico-sunafil-lima-599695.html,2026-05-12T23:14:26
MIGRACIONES,CAS N° 123: ASISTENTE LEGAL EN PROCEDIMIENTOS ADMINISTRATIVOS MIGRATORIOS,Bachiller universitario en la carrera de Derecho,Ica,1,4500,21/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-123-asistente-legal-procedimientos-administrativos-migratorios-migraciones-ica-599694.html,2026-05-12T23:14:26
MIGRACIONES,CAS N° 122: INSPECTOR(A) DE MIGRACIONES,"Bachiller universitario en las carreras de Administración,
Contabilidad, Derecho, Ciencias Políticas, Relaciones
Internacionales, Ingeniería Industrial o afines de la
formación",Ica,1,3000,21/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-122-inspector-migraciones-ica-599693.html,2026-05-12T23:14:26
MIGRACIONES,CAS N° 121: ORIENTADOR (A) DE ATENCIÓN AL USUARIO,"Egresado Técnico (Carrera Técnico Profesional de 3 años) en Secretariado o Computación e Informática o Administración o Turismo o afines por la formación; o, Egresado Universitario",Callao,1,2000,21/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-121-orientador-atencion-usuario-migraciones-callao-599692.html,2026-05-12T23:14:26
MIGRACIONES,CAS N° 120: EVALUADOR(A),"Bachiller universitario en la carrera de Derecho o Ciencias
Políticas.",La Libertad,1,3000,21/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-120-evaluador-migraciones-libertad-599691.html,2026-05-12T23:14:26
MIGRACIONES,CAS N° 119: EVALUADOR(A),"Bachiller universitario en la carrera de Derecho o Ciencias
Políticas.",Madre de Dios,2,3000,21/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-119-evaluador-migraciones-madre-dios-599690.html,2026-05-12T23:14:26
MIGRACIONES,CAS N° 118: ASISTENTE ADMINISTRATIVO(A),"Egreso Técnico profesional (carrera técnico profesional de 03 años) en las carreras de Administración o Contabilidad o Computación e Informática o Secretariado o afines por
la formación",Madre de Dios,1,3000,21/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-118-asistente-administrativo-migraciones-madre-dios-599689.html,2026-05-12T23:14:26
MIGRACIONES,CAS N° 117: EVALUADOR(A),"Bachiller universitario en la carrera de Derecho o Ciencias
Políticas.",Ancash,2,3000,21/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-117-evaluador-migraciones-ancash-599688.html,2026-05-12T23:14:26
MIGRACIONES,CAS N° 116: ASISTENTE OPERATIVO DE VERIFICACIÓN Y FISCALIZACIÓN MIGRATORIA,"Bachiller universitario en las carreras de Administración y/o
Derecho y/o Economía y/o Ciencias Políticas y/o
Contabilidad y/o Ingeniería y/o afines por la formación",Ancash,1,3000,21/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-116-asistente-operativo-verificacion-fiscalizacion-migratoria-migraciones-ancash-599687.html,2026-05-12T23:14:26
MIGRACIONES,CAS N° 115: ASISTENTE ADMINISTRATIVO(A),"Egreso Técnico profesional (carrera técnico profesional de03 años) en las carreras de Administración o Contabilidado Computación e Informática o Secretariado o afines por
la formación",Ancash,2,3000,21/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-115-asistente-administrativo-migraciones-ancash-599686.html,2026-05-12T23:14:26
MIGRACIONES,CAS N° 114: AUXILIAR ADMINISTRATIVO,Secundaria Completa,Lima,1,2500,21/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-114-auxiliar-administrativo-migraciones-lima-599685.html,2026-05-12T23:14:26
MIGRACIONES,CAS N° 113: ASISTENTE ADMINISTRATIVO II,"Egresado técnico profesional (carrera técnico profesional de 03 años) en las carreras de Secretariado, Computación e Informática, Contabilidad, Administración o afines a la
formación",Lima,1,4000,21/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-113-asistente-administrativo-migraciones-lima-599684.html,2026-05-12T23:14:26
MIGRACIONES,CAS N° 112: ASISTENTE DE PLATAFORMA DE ATENCIÓN II,"Título técnico profesional (Carrera técnico profesional de 3 años) en Computación e Informática, Contabilidad, Administración, Turismo o afines por la formación; o, Bachiller
universitario",Lima,2,3000,21/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-112-asistente-plataforma-atencion-migraciones-lima-599683.html,2026-05-12T23:14:26
MIGRACIONES,CAS N° 111: ORIENTADOR(A) DE ATENCIÓN AL USUARIO,"Egresado Técnico (Carrera Técnico Profesional de 3 años) en Secretariado o Computación e Informática o Administración o Turismo o afines por la formación; o, Egresado Universitario.",Lima,1,2000,21/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-111-orientador-atencion-usuario-migraciones-lima-599682.html,2026-05-12T23:14:26
UNIVERSIDAD NACIONAL DE INGENIERÍA(UNI),CAS N° 001: TECNICO/A ADMINISTRATIVO/A,Egresado(a) Técnica Administración o Contabilidad o Secretariado o afines.,Lima,1,2950,20/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-001-tecnico-administrativo-universidad-nacional-ingenieria-uni-lima-599680.html,2026-05-12T23:14:26
MIGRACIONES,CAS N° 110: ASISTENTE EN MONITOREO DE OPERACIONES,"Título Técnico (carrera técnico profesional de 03 o 04 años) de Computación e Informática, Administración o afines por la formación; o, Bachiller universitario en Contabilidad, otros",Lima,1,3500,21/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-110-asistente-monitoreo-operaciones-migraciones-lima-599679.html,2026-05-12T23:14:26
